"coord","year","month","cm","coord","year","month","dump","season"
"N18",2002,"Apr",25,"N18",2002,"Apr",0,2002
"N19",2002,"Apr",20,"N19",2002,"Apr",0,2002
"N2",2002,"Apr",37.5,"N2",2002,"Apr",0,2002
"N20",2002,"Apr",20,"N20",2002,"Apr",0,2002
"N21",2002,"Apr",10,"N21",2002,"Apr",0,2002
"N22",2002,"Apr",10,"N22",2002,"Apr",0,2002
"N23",2002,"Apr",15,"N23",2002,"Apr",0,2002
"N24",2002,"Apr",20,"N24",2002,"Apr",0,2002
"N25",2002,"Apr",35,"N25",2002,"Apr",0,2002
"N26",2002,"Apr",35,"N26",2002,"Apr",0,2002
"N27",2002,"Apr",42.5,"N27",2002,"Apr",0,2002
"N28",2002,"Apr",47.5,"N28",2002,"Apr",0,2002
"N29",2002,"Apr",47.5,"N29",2002,"Apr",0,2002
"N3",2002,"Apr",32.5,"N3",2002,"Apr",0,2002
"N34",2002,"Apr",0,"N34",2002,"Apr",0,2002
"N8",2002,"Apr",37.5,"N8",2002,"Apr",0,2002
"N9",2002,"Apr",30,"N9",2002,"Apr",0,2002
"O10",2002,"Apr",30,"O10",2002,"Apr",0,2002
"O11",2002,"Apr",30,"O11",2002,"Apr",0,2002
"O12",2002,"Apr",30,"O12",2002,"Apr",0,2002
"O13",2002,"Apr",30,"O13",2002,"Apr",0,2002
"O14",2002,"Apr",30,"O14",2002,"Apr",0,2002
"O15",2002,"Apr",20,"O15",2002,"Apr",0,2002
"O16",2002,"Apr",20,"O16",2002,"Apr",0,2002
"O17",2002,"Apr",20,"O17",2002,"Apr",0,2002
"O19",2002,"Apr",35,"O19",2002,"Apr",0,2002
"O2",2002,"Apr",32.5,"O2",2002,"Apr",0,2002
"O20",2002,"Apr",25,"O20",2002,"Apr",0,2002
"O21",2002,"Apr",25,"O21",2002,"Apr",0,2002
"O22",2002,"Apr",15,"O22",2002,"Apr",0,2002
"O23",2002,"Apr",20,"O23",2002,"Apr",0,2002
"O24",2002,"Apr",25,"O24",2002,"Apr",0,2002
"O26",2002,"Apr",30,"O26",2002,"Apr",0,2002
"O27",2002,"Apr",35,"O27",2002,"Apr",0,2002
"O28",2002,"Apr",40,"O28",2002,"Apr",0,2002
"O29",2002,"Apr",47.5,"O29",2002,"Apr",0,2002
"O34",2002,"Apr",0,"O34",2002,"Apr",0,2002
"O8",2002,"Apr",37.5,"O8",2002,"Apr",0,2002
"O9",2002,"Apr",37.5,"O9",2002,"Apr",0,2002
"P10",2002,"Apr",45,"P10",2002,"Apr",0,2002
"P11",2002,"Apr",30,"P11",2002,"Apr",0,2002
"P12",2002,"Apr",35,"P12",2002,"Apr",0,2002
"P13",2002,"Apr",35,"P13",2002,"Apr",0,2002
"P14",2002,"Apr",30,"P14",2002,"Apr",0,2002
"P15",2002,"Apr",30,"P15",2002,"Apr",0,2002
"P16",2002,"Apr",30,"P16",2002,"Apr",0,2002
"P19",2002,"Apr",15,"P19",2002,"Apr",0,2002
"P20",2002,"Apr",35,"P20",2002,"Apr",0,2002
"P21",2002,"Apr",30,"P21",2002,"Apr",0,2002
"P22",2002,"Apr",30,"P22",2002,"Apr",0,2002
"P23",2002,"Apr",25,"P23",2002,"Apr",0,2002
"P24",2002,"Apr",40,"P24",2002,"Apr",0,2002
"P27",2002,"Apr",40,"P27",2002,"Apr",0,2002
"P34",2002,"Apr",0,"P34",2002,"Apr",0,2002
"P7",2002,"Apr",52.5,"P7",2002,"Apr",0,2002
"P8",2002,"Apr",42.5,"P8",2002,"Apr",0,2002
"P9",2002,"Apr",37.5,"P9",2002,"Apr",0,2002
"Q10",2002,"Apr",47.5,"Q10",2002,"Apr",0,2002
"Q11",2002,"Apr",40,"Q11",2002,"Apr",0,2002
"Q12",2002,"Apr",40,"Q12",2002,"Apr",0,2002
"Q13",2002,"Apr",35,"Q13",2002,"Apr",0,2002
"Q14",2002,"Apr",35,"Q14",2002,"Apr",0,2002
"Q15",2002,"Apr",30,"Q15",2002,"Apr",0,2002
"Q19",2002,"Apr",15,"Q19",2002,"Apr",0,2002
"Q20",2002,"Apr",35,"Q20",2002,"Apr",0,2002
"Q21",2002,"Apr",30,"Q21",2002,"Apr",0,2002
"Q22",2002,"Apr",35,"Q22",2002,"Apr",0,2002
"Q23",2002,"Apr",30,"Q23",2002,"Apr",0,2002
"Q34",2002,"Apr",0,"Q34",2002,"Apr",0,2002
"Q7",2002,"Apr",52.5,"Q7",2002,"Apr",0,2002
"Q8",2002,"Apr",37.5,"Q8",2002,"Apr",0,2002
"Q9",2002,"Apr",47.5,"Q9",2002,"Apr",0,2002
"R10",2002,"Apr",40,"R10",2002,"Apr",0,2002
"R11",2002,"Apr",40,"R11",2002,"Apr",0,2002
"R12",2002,"Apr",40,"R12",2002,"Apr",0,2002
"R13",2002,"Apr",30,"R13",2002,"Apr",0,2002
"R14",2002,"Apr",30,"R14",2002,"Apr",0,2002
"R15",2002,"Apr",20,"R15",2002,"Apr",0,2002
"R16",2002,"Apr",30,"R16",2002,"Apr",0,2002
"R20",2002,"Apr",35,"R20",2002,"Apr",0,2002
"R22",2002,"Apr",25,"R22",2002,"Apr",0,2002
"R23",2002,"Apr",30,"R23",2002,"Apr",0,2002
"R34",2002,"Apr",0,"R34",2002,"Apr",0,2002
"R7",2002,"Apr",52.5,"R7",2002,"Apr",0,2002
"R8",2002,"Apr",37.5,"R8",2002,"Apr",0,2002
"R9",2002,"Apr",47.5,"R9",2002,"Apr",0,2002
"S10",2002,"Apr",35,"S10",2002,"Apr",0,2002
"S11",2002,"Apr",40,"S11",2002,"Apr",0,2002
"S12",2002,"Apr",35,"S12",2002,"Apr",0,2002
"S13",2002,"Apr",35,"S13",2002,"Apr",0,2002
"S14",2002,"Apr",25,"S14",2002,"Apr",0,2002
"S15",2002,"Apr",25,"S15",2002,"Apr",0,2002
"S22",2002,"Apr",30,"S22",2002,"Apr",0,2002
"S34",2002,"Apr",0,"S34",2002,"Apr",0,2002
"S8",2002,"Apr",42.5,"S8",2002,"Apr",0,2002
"S9",2002,"Apr",42.5,"S9",2002,"Apr",0,2002
"T10",2002,"Apr",47.5,"T10",2002,"Apr",0,2002
"T11",2002,"Apr",35,"T11",2002,"Apr",0,2002
"T14",2002,"Apr",25,"T14",2002,"Apr",0,2002
"T34",2002,"Apr",0,"T34",2002,"Apr",0,2002
"T9",2002,"Apr",47.5,"T9",2002,"Apr",0,2002
"U34",2002,"Apr",0,"U34",2002,"Apr",0,2002
"V34",2002,"Apr",0,"V34",2002,"Apr",0,2002
"A34",2003,"Apr",0,"A34",2003,"Apr",0,2003
"B34",2003,"Apr",0,"B34",2003,"Apr",0,2003
"C34",2003,"Apr",0,"C34",2003,"Apr",0,2003
"D34",2003,"Apr",0,"D34",2003,"Apr",0,2003
"E10",2003,"Apr",55,"E10",2003,"Apr",0,2003
"E24",2003,"Apr",52.5,"E24",2003,"Apr",0,2003
"E25",2003,"Apr",52.5,"E25",2003,"Apr",0,2003
"E26",2003,"Apr",52.5,"E26",2003,"Apr",0,2003
"E34",2003,"Apr",0,"E34",2003,"Apr",0,2003
"E8",2003,"Apr",50,"E8",2003,"Apr",0,2003
"E9",2003,"Apr",50,"E9",2003,"Apr",0,2003
"F10",2003,"Apr",50,"F10",2003,"Apr",0,2003
"F11",2003,"Apr",55,"F11",2003,"Apr",0,2003
"F22",2003,"Apr",52.5,"F22",2003,"Apr",0,2003
"F23",2003,"Apr",52.5,"F23",2003,"Apr",0,2003
"F24",2003,"Apr",52.5,"F24",2003,"Apr",0,2003
"F25",2003,"Apr",52.5,"F25",2003,"Apr",0,2003
"F26",2003,"Apr",52.5,"F26",2003,"Apr",0,2003
"F34",2003,"Apr",0,"F34",2003,"Apr",0,2003
"F9",2003,"Apr",50,"F9",2003,"Apr",0,2003
"G10",2003,"Apr",50,"G10",2003,"Apr",0,2003
"G20",2003,"Apr",50,"G20",2003,"Apr",0,2003
"G21",2003,"Apr",42.5,"G21",2003,"Apr",0,2003
"G22",2003,"Apr",47.5,"G22",2003,"Apr",0,2003
"G23",2003,"Apr",52.5,"G23",2003,"Apr",0,2003
"G24",2003,"Apr",52.5,"G24",2003,"Apr",0,2003
"G25",2003,"Apr",52.5,"G25",2003,"Apr",0,2003
"G26",2003,"Apr",67.5,"G26",2003,"Apr",1,2003
"G34",2003,"Apr",0,"G34",2003,"Apr",0,2003
"G8",2003,"Apr",50,"G8",2003,"Apr",0,2003
"G9",2003,"Apr",45,"G9",2003,"Apr",0,2003
"H18",2003,"Apr",50,"H18",2003,"Apr",0,2003
"H19",2003,"Apr",45,"H19",2003,"Apr",0,2003
"H20",2003,"Apr",45,"H20",2003,"Apr",0,2003
"H21",2003,"Apr",42.5,"H21",2003,"Apr",0,2003
"H22",2003,"Apr",42.5,"H22",2003,"Apr",0,2003
"H23",2003,"Apr",47.5,"H23",2003,"Apr",0,2003
"H24",2003,"Apr",47.5,"H24",2003,"Apr",0,2003
"H25",2003,"Apr",52.5,"H25",2003,"Apr",0,2003
"H26",2003,"Apr",67.5,"H26",2003,"Apr",1,2003
"H34",2003,"Apr",0,"H34",2003,"Apr",0,2003
"H7",2003,"Apr",50,"H7",2003,"Apr",0,2003
"H8",2003,"Apr",50,"H8",2003,"Apr",0,2003
"H9",2003,"Apr",50,"H9",2003,"Apr",0,2003
"I15",2003,"Apr",47.5,"I15",2003,"Apr",0,2003
"I16",2003,"Apr",47.5,"I16",2003,"Apr",0,2003
"I17",2003,"Apr",47.5,"I17",2003,"Apr",0,2003
"I19",2003,"Apr",50,"I19",2003,"Apr",0,2003
"I20",2003,"Apr",45,"I20",2003,"Apr",0,2003
"I21",2003,"Apr",42.5,"I21",2003,"Apr",0,2003
"I22",2003,"Apr",47.5,"I22",2003,"Apr",0,2003
"I23",2003,"Apr",47.5,"I23",2003,"Apr",0,2003
"I24",2003,"Apr",47.5,"I24",2003,"Apr",0,2003
"I25",2003,"Apr",47.5,"I25",2003,"Apr",0,2003
"I26",2003,"Apr",47.5,"I26",2003,"Apr",0,2003
"I27",2003,"Apr",52.5,"I27",2003,"Apr",0,2003
"I28",2003,"Apr",47.5,"I28",2003,"Apr",0,2003
"I34",2003,"Apr",0,"I34",2003,"Apr",0,2003
"I6",2003,"Apr",50,"I6",2003,"Apr",0,2003
"I7",2003,"Apr",50,"I7",2003,"Apr",0,2003
"J13",2003,"Apr",45,"J13",2003,"Apr",0,2003
"J14",2003,"Apr",47.5,"J14",2003,"Apr",0,2003
"J15",2003,"Apr",37.5,"J15",2003,"Apr",0,2003
"J16",2003,"Apr",42.5,"J16",2003,"Apr",0,2003
"J17",2003,"Apr",47.5,"J17",2003,"Apr",0,2003
"J18",2003,"Apr",42.5,"J18",2003,"Apr",0,2003
"J19",2003,"Apr",37.5,"J19",2003,"Apr",0,2003
"J20",2003,"Apr",37.5,"J20",2003,"Apr",0,2003
"J21",2003,"Apr",42.5,"J21",2003,"Apr",0,2003
"J22",2003,"Apr",47.5,"J22",2003,"Apr",0,2003
"J23",2003,"Apr",47.5,"J23",2003,"Apr",0,2003
"J24",2003,"Apr",55,"J24",2003,"Apr",0,2003
"J25",2003,"Apr",47.5,"J25",2003,"Apr",0,2003
"J26",2003,"Apr",42.5,"J26",2003,"Apr",0,2003
"J27",2003,"Apr",42.5,"J27",2003,"Apr",0,2003
"J28",2003,"Apr",47.5,"J28",2003,"Apr",0,2003
"J29",2003,"Apr",42.5,"J29",2003,"Apr",0,2003
"J32",2003,"Apr",47.5,"J32",2003,"Apr",0,2003
"J34",2003,"Apr",0,"J34",2003,"Apr",0,2003
"J5",2003,"Apr",50,"J5",2003,"Apr",0,2003
"J6",2003,"Apr",50,"J6",2003,"Apr",0,2003
"K11",2003,"Apr",50,"K11",2003,"Apr",0,2003
"K12",2003,"Apr",45,"K12",2003,"Apr",0,2003
"K13",2003,"Apr",45,"K13",2003,"Apr",0,2003
"K14",2003,"Apr",37.5,"K14",2003,"Apr",0,2003
"K15",2003,"Apr",37.5,"K15",2003,"Apr",0,2003
"K16",2003,"Apr",37.5,"K16",2003,"Apr",0,2003
"K17",2003,"Apr",42.5,"K17",2003,"Apr",0,2003
"K18",2003,"Apr",42.5,"K18",2003,"Apr",0,2003
"K19",2003,"Apr",37.5,"K19",2003,"Apr",0,2003
"K20",2003,"Apr",42.5,"K20",2003,"Apr",0,2003
"K21",2003,"Apr",42.5,"K21",2003,"Apr",0,2003
"K22",2003,"Apr",35,"K22",2003,"Apr",0,2003
"K23",2003,"Apr",25,"K23",2003,"Apr",0,2003
"K24",2003,"Apr",37.5,"K24",2003,"Apr",0,2003
"K25",2003,"Apr",50,"K25",2003,"Apr",0,2003
"K26",2003,"Apr",47.5,"K26",2003,"Apr",0,2003
"K27",2003,"Apr",52.5,"K27",2003,"Apr",0,2003
"K28",2003,"Apr",42.5,"K28",2003,"Apr",0,2003
"K29",2003,"Apr",47.5,"K29",2003,"Apr",0,2003
"K30",2003,"Apr",47.5,"K30",2003,"Apr",0,2003
"K31",2003,"Apr",52.5,"K31",2003,"Apr",0,2003
"K32",2003,"Apr",52.5,"K32",2003,"Apr",0,2003
"K34",2003,"Apr",0,"K34",2003,"Apr",0,2003
"K5",2003,"Apr",50,"K5",2003,"Apr",0,2003
"L10",2003,"Apr",50,"L10",2003,"Apr",0,2003
"L11",2003,"Apr",57.5,"L11",2003,"Apr",0,2003
"L12",2003,"Apr",40,"L12",2003,"Apr",0,2003
"L13",2003,"Apr",40,"L13",2003,"Apr",0,2003
"L14",2003,"Apr",37.5,"L14",2003,"Apr",0,2003
"L15",2003,"Apr",42.5,"L15",2003,"Apr",0,2003
"L16",2003,"Apr",47.5,"L16",2003,"Apr",0,2003
"L17",2003,"Apr",42.5,"L17",2003,"Apr",0,2003
"L18",2003,"Apr",37.5,"L18",2003,"Apr",0,2003
"L19",2003,"Apr",32.5,"L19",2003,"Apr",0,2003
"L20",2003,"Apr",30,"L20",2003,"Apr",0,2003
"L21",2003,"Apr",35,"L21",2003,"Apr",0,2003
"L22",2003,"Apr",30,"L22",2003,"Apr",0,2003
"L23",2003,"Apr",30,"L23",2003,"Apr",0,2003
"L24",2003,"Apr",35,"L24",2003,"Apr",0,2003
"L25",2003,"Apr",47.5,"L25",2003,"Apr",0,2003
"L26",2003,"Apr",52.5,"L26",2003,"Apr",0,2003
"L27",2003,"Apr",52.5,"L27",2003,"Apr",0,2003
"L28",2003,"Apr",47.5,"L28",2003,"Apr",0,2003
"L29",2003,"Apr",47.5,"L29",2003,"Apr",0,2003
"L30",2003,"Apr",47.5,"L30",2003,"Apr",0,2003
"L31",2003,"Apr",47.5,"L31",2003,"Apr",0,2003
"L32",2003,"Apr",42.5,"L32",2003,"Apr",0,2003
"L34",2003,"Apr",0,"L34",2003,"Apr",0,2003
"L4",2003,"Apr",45,"L4",2003,"Apr",0,2003
"L9",2003,"Apr",50,"L9",2003,"Apr",0,2003
"M10",2003,"Apr",50,"M10",2003,"Apr",0,2003
"M11",2003,"Apr",45,"M11",2003,"Apr",0,2003
"M12",2003,"Apr",40,"M12",2003,"Apr",0,2003
"M13",2003,"Apr",40,"M13",2003,"Apr",0,2003
"M14",2003,"Apr",32.5,"M14",2003,"Apr",0,2003
"M15",2003,"Apr",32.5,"M15",2003,"Apr",0,2003
"M16",2003,"Apr",42.5,"M16",2003,"Apr",0,2003
"M17",2003,"Apr",42.5,"M17",2003,"Apr",0,2003
"M18",2003,"Apr",47.5,"M18",2003,"Apr",0,2003
"M19",2003,"Apr",30,"M19",2003,"Apr",0,2003
"M20",2003,"Apr",30,"M20",2003,"Apr",0,2003
"M21",2003,"Apr",25,"M21",2003,"Apr",0,2003
"M22",2003,"Apr",30,"M22",2003,"Apr",0,2003
"M23",2003,"Apr",30,"M23",2003,"Apr",0,2003
"M24",2003,"Apr",47.5,"M24",2003,"Apr",0,2003
"M25",2003,"Apr",45,"M25",2003,"Apr",0,2003
"M26",2003,"Apr",45,"M26",2003,"Apr",0,2003
"M27",2003,"Apr",45,"M27",2003,"Apr",0,2003
"M28",2003,"Apr",40,"M28",2003,"Apr",0,2003
"M29",2003,"Apr",35,"M29",2003,"Apr",0,2003
"M3",2003,"Apr",45,"M3",2003,"Apr",0,2003
"M30",2003,"Apr",42.5,"M30",2003,"Apr",0,2003
"M32",2003,"Apr",42.5,"M32",2003,"Apr",0,2003
"M34",2003,"Apr",0,"M34",2003,"Apr",0,2003
"M8",2003,"Apr",45,"M8",2003,"Apr",0,2003
"M9",2003,"Apr",45,"M9",2003,"Apr",0,2003
"N10",2003,"Apr",45,"N10",2003,"Apr",0,2003
"N11",2003,"Apr",45,"N11",2003,"Apr",0,2003
"N12",2003,"Apr",40,"N12",2003,"Apr",0,2003
"N13",2003,"Apr",27.5,"N13",2003,"Apr",0,2003
"N14",2003,"Apr",32.5,"N14",2003,"Apr",0,2003
"N15",2003,"Apr",32.5,"N15",2003,"Apr",0,2003
"N16",2003,"Apr",30,"N16",2003,"Apr",0,2003
